                  user                                           modified                                            added  modified_centrality  all_centrality  modified_proximity  all_proximity  modified_changeExtent  all_changeExtent
148                 mu                                               [11]                                               []             0.743590       13.948718            0.936170      26.110424               0.000000          0.012821
149                 mu                                           [25, 23]                                               []             1.076923       13.948718            1.862069      29.350330               0.000000          1.012658
150                 mu                                 [5, 9, 11, 24, 18]                                               []             2.948718       13.948718            4.402326      28.505256               0.000000          0.512500
151                 mu                                           [11, 20]                                               []             1.153846       14.051282            1.611111      27.741909               0.000000          0.345679
152                 mu                                               [11]                                               []             0.769231       14.051282            0.766667      29.439571               0.000000          0.262195
153                 mu                                                [5]                                               []             0.717949       14.051282            0.842105      32.230068               0.000000          0.212048
154                 mu                                               [15]                                               []             0.794872       14.051282            0.952381      31.567095               0.000000          0.178571
155                 mu                                               [74]                                               []             0.435897       14.051282            1.000000      32.339044               0.000000          0.154622
156                 mu                                        [5, 11, 18]                                               []             1.974359       14.051282            2.592857      31.616068               0.000000          0.136628
157                 mu                                               [74]                                               []             0.435897       14.051282            1.000000      31.185820               0.000000          0.122605
158                 mu                        [5, 25, 23, 22, 74, 24, 15]                                               []             4.076923       14.051282            6.506410      31.524879               0.000000          0.111364
159                 mu                                        [9, 11, 18]                                               []             1.871795       14.102564            2.847761      27.714842               0.000000          0.102145
160                 mu                                         [5, 9, 10]                                               []             1.846154       14.102564            2.877981      29.922809               0.000000          0.094444
161                 mu                                          [7, 8, 9]                                               []             1.641026       14.102564            2.921569      30.287668               0.000000          0.087912
162                 mu                                                [5]                                               []             0.717949       14.102564            0.937500      29.162015               0.000000          0.082298
163                 mu                                           [11, 18]                                               []             1.256410       14.102564            1.880702      30.948494               0.000000          0.077419
164                 mu                                         [5, 9, 10]                                               []             1.846154       14.102564            2.789855      31.048632               0.000000          0.073138
165                 mu                                                [9]                                               []             0.615385       14.102564            0.916667      30.079737               0.000000          0.069350
166                 mu                                               [11]                                               []             0.769231       14.102564            0.928571      31.194714               0.000000          0.065972
167                 mu                                               [15]                                               []             0.794872       14.102564            0.947368      31.775744               0.000000          0.062941
168                 mu                                               [15]                                               []             0.794872       14.102564            0.785714      32.997689               0.000000          0.060204
169                 mu                                     [5, 6, 11, 15]                                            [100]             2.615385       14.102564            3.266234      33.928349               0.000000          0.057720
170                 mu                                           [34, 15]                                            [101]             1.125000       13.975000            1.395652      29.831635               0.000000          0.055455
171                 mu                                           [22, 24]                                               []             1.000000       13.756098            1.828299      31.116858               0.000000          1.053379
172                 mu                                               [24]                                               []             0.439024       13.756098            0.875000      32.792060               0.000000          1.551471
173                 mu                                               [25]                                               []             0.365854       13.756098            1.000000      32.304370               0.000000          0.883042
174                 mu                                               [15]                                               []             0.804878       13.756098            0.800000      31.853461               0.000000          0.631410
175                 mu                                               [15]                                               []             0.804878       13.756098            0.375000      35.874777               0.000000          0.496561
176                 mu                                            [5, 15]                                       [102, 103]             1.512195       13.756098            0.916667      35.161526               0.000000          0.411815
177                 mu                     [7, 8, 11, 62, 25, 78, 79, 15]                                               []             3.651163       13.488372            5.816098      29.950052               0.000000          0.210495
178                 mu                                               [25]                                               []             0.395349       13.767442            0.933333      30.233374               0.000000          2.185450
179                 mu                                               [11]                                            [104]             0.720930       13.767442            0.960000      34.013346               0.000000          1.166432
180                 mu                                               [11]                                               []             0.727273       13.613636            0.880000      31.623270               0.000000          0.818119
181                 mu                                         [5, 9, 10]                                               []             1.704545       13.613636            2.937500      37.122036               0.000000          1.639312
182                 mu                                          [102, 15]                                               []             0.909091       13.613636            1.584416      34.087791               0.200000          1.029249
183               nico                                                [5]                                               []             0.704545       13.613636            0.090909       6.298203               0.346154          2.933769
184               nico                                                [5]                                               []             0.727273       13.636364            0.000000       4.552961               0.000000          2.566149
185                 mu                               [33, 23, 31, 32, 95]                                               []             1.386364       13.636364            4.078571      34.807801               0.027027          1.432151
186                 mu  [5, 6, 7, 8, 9, 10, 11, 35, 25, 23, 22, 79, 74...                                               []             8.045455       13.818182           12.482072      29.378627               0.758621          1.103065
187                 mu                                                [5]                                               []             0.795455       18.772727            0.929577      31.419912               0.000000          0.205357
188                 mu                                               [74]                                               []             0.613636       18.772727            1.000000      38.021794               0.000000          0.183824
189                 mu                                       [22, 24, 15]                                               []             2.136364       18.772727            3.000000      37.611225               0.000000          0.166667
190                 mu                                               [23]                                               []             0.840909       18.772727            1.000000      37.789026               0.000000          0.152632
191                 mu  [5, 6, 9, 11, 62, 23, 22, 74, 102, 28, 101, 34...                                               []             7.659091       18.772727           12.323168      40.202534               0.050000          0.140909
192               nico                                               [11]                                               []             0.818182       19.772727            0.153846       5.060874               0.298429          3.259569
193                 mu                                               [25]                                               []             0.613636       19.795455            0.953488      34.269382               0.000000          2.076923
194                 mu                                       [25, 23, 22]                                               []             2.250000       19.795455            2.836538      38.494470               0.000000          1.071429
195                 mu                                           [23, 22]                                               []             1.636364       19.795455            1.885034      37.059172               0.000000          0.733333
196                 mu                                           [11, 25]                                               []             1.454545       19.795455            1.764368      37.606508               0.500000          0.562500
197                 mu                                              [101]                                               []             0.295455       19.795455            0.923077      36.852420               0.000000          0.058824
198                 mu                                               [15]                                               []             0.840909       19.795455            1.000000      36.192549               0.000000          0.055556
199                 mu                                               [22]                                               []             0.750000       19.795455            1.000000      40.816667               0.000000          0.052632
