               user                                           modified                      added  modified_centrality  all_centrality  modified_proximity  all_proximity  modified_changeExtent  all_changeExtent
154         fraggle                                           [48, 51]                         []             1.888889       48.259259            2.000000      52.266667               0.000000          0.476190
155         fraggle                                               [51]                         []             0.944444       48.259259            0.985816      51.966208               0.000000          0.383333
156         fraggle                                               [51]                         []             0.944444       48.259259            0.957447      51.957447               0.000000          0.325000
157         fraggle                                               [44]                         []             0.944444       48.259259            1.000000      51.717808               0.000000          0.284314
158         fraggle                [71, 72, 75, 4, 62, 65, 43, 44, 51]                         []             7.574074       48.259259            7.922157      51.722157               0.142857          0.253968
159         fraggle                                    [61, 67, 22, 9]                         []             3.777778       48.555556            3.973089      51.626273               0.000000          0.105263
160         fraggle                                               [74]                       [76]             0.037037       48.555556            0.222222      52.129596               0.050000          0.100000
161         fraggle                       [45, 46, 61, 66, 67, 48, 76]                         []             5.600000       47.727273            6.299593      52.386429               0.000000          0.047619
162         fraggle                                           [48, 51]                         []             1.890909       47.945455            1.946737      51.975094               0.000000          0.045455
163         fraggle                                               [41]                         []             0.927273       47.945455            0.987179      52.816844               0.000000          0.043478
164         fraggle                                               [68]                         []             0.927273       47.945455            1.000000      53.550422               0.000000          0.041667
165         fraggle                               [59, 62, 68, 47, 43]                         []             4.672727       47.945455            4.980769      54.008013               0.000000          0.040000
166         fraggle                                       [48, 49, 51]                         []             2.818182       47.945455            3.000000      52.687046               0.000000          0.038462
167         fraggle                                               [55]               [79, 80, 81]             0.927273       47.945455            1.000000      53.003089               0.000000          0.037037
168         fraggle                                               [63]                         []             0.879310       45.724138            0.970297      53.583552               0.000000          0.035714
169         fraggle  [2, 3, 45, 46, 60, 61, 66, 67, 63, 30, 31, 21,...                         []            23.034483       45.724138           25.966102      56.543941               0.000000          3.034483
170         fraggle                             [21, 22, 8, 9, 71, 10]                         []             5.293103       45.724138            5.950014      51.993460               0.000000          1.533333
171         fraggle       [63, 64, 24, 25, 26, 27, 28, 29, 31, 33, 71]                         []             9.689655       45.724138           10.939732      52.915989               0.000000          1.032258
